"","Status","FoundingYear","Age","FocusFunctions","TeamSizeGrowth","NumSeedInvestors","NumAngelorVCInvestors","NumFounders","NumAdvisors","SeniorLeadershipTeamSize","TopCompanyExp","StartupExp","SuccessfulStartupExp","Big5Partner","ConsultingExp","ProductorService","DataFocus","ConsumerDataFocus","DataStructureFocus","SubscriptionBased","CloudPlatformBased","LocalGlobal","BusinessModel","CapitalIntensive","CrowdsourcingBased","CrowdfundingBased","B2BorB2C","GlobalExposure","HighestEducation","Fortune100Exp","Fortune500Exp","Fortune1000Exp","NumFounderRecognition","PricingStrategy","HyperLocalisation","LongtermFounderRelationship","GooglePageRank","NumDirectCompetitors","EmployeesPerYear","LastFundingRoundAmount","RecessionSurvival","FortuneExp"
"1","Success",2011,3,"operations","no",15,0,3,0,7,"Yes","No","No","No","No","Both","Private","Yes","Both","Yes","cloud","local","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,18,"Yes","No","Yes",71391,0,3,2,"Not Applicable",1
"2","Success",2009,5,"marketing & sales","no",6,0,2,0,4,"No","Yes","Yes","No","No","Product","Public","Yes","Structured","Yes","platform","local","Non-Linear","No","Yes","No","B2C","Yes","Bachelors",0,0,0,2,"Yes","No","No",11847,2,10,10,"Not Applicable",0
"3","Success",2010,4,"marketing & sales","no",7,0,1,1,8,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",0,0,0,5,"Yes","No","Yes",201814,0,10,5,"Not Applicable",0
"4","Success",2010,4,"analytics","no",2,0,4,0,4,"No","No","No","No","No","Service","Public","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,5,"Yes","No","No",591816,0,3,1,"Not Applicable",0
"5","Success",2011,3,"research","no",7,0,2,9,2,"No","Yes","Yes","No","No","Both","Public","Yes","Unstructured","Yes","platform","local","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","No",2345574,0,5,2,"Not Applicable",0
"6","Success",2010,4,"computing","no",0,0,3,4,4,"No","Yes","Yes","No","No","Both","Private","No","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,5,"Yes","No","No",1015027,0,10,6,"Not Applicable",0
"7","Success",2011,3,"marketing","no",13,0,2,0,2,"Yes","Yes","Yes","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","No","Yes","No","B2B","Yes","Masters",0,0,0,13,"No","No","No",256921,0,16,11,"Not Applicable",0
"8","Success",2013,1,"research","no",0,0,3,4,3,"Yes","Yes","Yes","No","No","Product","Public","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","Yes",3639779,0,3,3,"Not Applicable",0
"9","Success",2011,3,"sales, marketing","no",0,0,2,1,8,"No","Yes","Yes","No","No","Both","Public","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,4,"Yes","No","No",142907,4,25,16,"Not Applicable",1
"10","Success",2010,4,"marketing 
sales","no",0,0,0,1,8,"No","Yes","Yes","No","Yes","Product","Private","Yes","Structured","No","cloud","local","Non-Linear","Yes","No","No","B2B","Yes","Bachelors",1,0,0,0,"Yes","No","No",172054,0,16,11,"Not Applicable",1
"11","Success",2008,6,"technology","no",0,0,3,0,6,"No","Yes","No","Yes","Yes","Product","Public","Yes","Both","Yes","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",0,0,1,1,"Yes","No","No",99081,0,4,6,"Yes",1
"12","Success",2010,4,"marketing, sales","no",0,2,2,0,5,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","No","No","No","B2B","Yes","PhD",0,0,0,1,"Yes","No","Yes",713494,0,16,2,"Not Applicable",0
"13","Success",2010,4,"marketing","no",0,3,1,0,7,"No","No","No","No","No","Product","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Masters",0,0,0,1,"Yes","No","No",1939943,0,16,3,"Not Applicable",0
"14","Success",2009,5,"marketing & sales","no",0,0,3,0,8,"No","No","No","No","No","Both","Both","Yes","Both","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",276491,0,12,10,"Not Applicable",0
"15","Success",2002,12,"solution providing","yes",0,3,0,0,8,"Yes","Yes","Yes","No","No","Both","Public","Yes","Both","No","platform","local","Non-Linear","Yes","No","No","B2B","Yes","Masters",0,0,0,0,"Yes","No","No",3341960,0,18,0,"Yes",0
"16","Success",2010,4,"marketing 
sales","no",0,6,2,0,4,"No","Yes","Yes","No","No","Product","Private","Yes","Both","No","cloud","local","Non-Linear","No","No","No","B2B","No","Bachelors",0,0,0,0,"No","No","No",2461569,4,16,0,"Not Applicable",0
"17","Success",2010,4,"marketing","yes",0,1,2,0,5,"Yes","Yes","No","No","No","Both","Private","Yes","Structured","No","cloud","global","Non-Linear","No","No","No","B2B","Yes","Bachelors",1,1,1,56,"Yes","No","Yes",1246836,0,8,5,"Not Applicable",3
"18","Success",2005,9,"social media","yes",0,0,2,0,4,"No","Yes","Yes","Yes","Yes","Both","Public","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",1,1,1,100,"No","No","No",269278,0,3,1,"Yes",3
"19","Success",2012,2,"marketing","yes",0,0,3,8,3,"Yes","Yes","Yes","No","No","Service","Private","Yes","Structured","No","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",1,1,1,58,"No","Yes","Yes",761788,0,33,15,"Not Applicable",3
"20","Success",2012,2,"community betterment","yes",1,0,2,0,2,"No","Yes","Yes","No","No","Service","Public","No","Both","Yes","platform","local","Linear","Yes","Yes","No","B2C","Yes","PhD",0,0,0,81,"No","Yes","Yes",642250,5,3,1,"Not Applicable",0
"21","Success",2011,3,"web analytics","yes",3,0,2,1,3,"No","Yes","Yes","No","No","Service","Private","Yes","Structured","Yes","platform","global","Non-Linear","No","No","No","B2B","Yes","Masters",0,0,0,24,"No","No","No",3799200,3,2,0,"Not Applicable",0
"22","Success",2009,5,"strategy","yes",0,0,3,0,3,"No","No","No","Yes","No","Service","Private","No","Unstructured","No","platform","global","Non-Linear","No","No","No","B2B","No","Bachelors",1,1,1,67,"No","No","No",2497831,0,1,1,"Not Applicable",3
"23","Success",2013,1,"social media","no",6,0,1,0,1,"No","No","No","No","No","Service","Private","No","Both","Yes","platform","global","Non-Linear","No","No","No","B2C","No","PhD",0,0,0,53,"No","Yes","No",7253712,0,5,1,"Not Applicable",0
"24","Success",2007,7,"strategy","yes",0,0,2,8,10,"No","No","No","No","No","Service","Private","No","Structured","No","platform","local","Linear","Yes","No","No","B2B","No","Bachelors",1,1,1,71,"Yes","Yes","Yes",296645,0,18,15,"Yes",3
"25","Success",2012,2,"bug fix","no",3,0,2,0,2,"No","No","No","No","No","Service","Private","No","Both","No","platform","global","Non-Linear","No","Yes","No","B2C","No","Bachelors",0,0,0,79,"No","No","Yes",155498,5,3,0,"Not Applicable",0
